Date,Open,High,Low,Close,Shares Traded,Turnover,DoD_Return_%,ATR_14,MACD,MACD_Signal,CCI_20
2026-09-04,11157.6,11238.45,11152.2,11187.65,49717026,2764.58,0.2060073535668394,112.62908274713723,-14.880915501689742,-14.233165003984842,15.359169912144711
2026-09-07,11193.95,11202.4,11075.1,11118.85,47062144,2345.31,-0.6149638217141207,113.67700540805595,-17.238731068620837,-14.834278216912042,-61.380866339710224
2026-09-08,11089.35,11114.2,10989.05,11044.75,46116248,2359.63,-0.6664358274461879,114.82864787890917,-24.800680802612987,-16.827558734052232,-151.33267028320532
2026-09-09,10999.05,11096.5,10980.55,11029.0,65849298,4304.11,-0.1426016885850756,114.90874445898713,-31.699066710412808,-19.80186032932435,-144.0697055330305
2026-09-10,11027.2,11136.65,10995.65,11029.9,57781211,3079.8,0.008160304651361194,116.77240556905949,-36.67074721697463,-23.175637706854406,-106.85290842680045
2026-09-11,10996.45,10996.45,10907.7,10937.0,74217169,3328.21,-0.8422560494655396,117.16009088555516,-47.558864454686045,-28.052283056420734,-195.21937630649668
2026-09-15,10950.75,10977.5,10788.6,10796.4,65466243,3268.22,-1.2855444820334627,122.2843701080155,-66.7634136927245,-35.794509183681484,-231.1305330122781
2026-09-16,10836.95,10900.85,10781.35,10872.45,51556504,2631.25,0.7044014671557353,122.08548652887154,-74.98220966334884,-43.63204927961496,-192.92918029043568
2026-09-17,10884.75,10924.9,10828.6,10857.35,49746795,2283.98,-0.1388831404145363,120.24366606252352,-81.7714975643994,-51.25993893657186,-151.24059798003373
2026-09-18,10880.8,11001.35,10878.1,10948.7,127617454,6482.24,0.8413655265787634,121.94054705805755,-78.87169181662648,-56.782289512582786,-87.97638457038094
2026-09-21,10953.8,11017.8,10938.65,11006.25,48691794,2646.79,0.5256331801948955,118.88407941105342,-71.11005834681418,-59.64784327942907,-50.12446924221637
2026-09-22,11023.35,11046.4,10899.05,10958.9,73647702,3323.17,-0.43021010789324743,120.91735945312107,-67.99584342491653,-61.31744330852656,-56.630981153897714
2026-09-23,10975.9,11024.35,10952.3,11005.2,42101454,2038.82,0.4224876584328907,117.42683377789821,-61.087602749072175,-61.27147519663569,-31.552185456726317
2026-09-24,10924.55,10963.95,10837.4,10869.85,52767159,2801.12,-1.229873150874139,121.02491707947698,-65.77615945319485,-62.17241204794753,-98.77029189522237
